first_publish_year,edition_count,subject_count,has_cover,is_available_online,genre,avg_rating,ratings_count,page_count,review_length,price_usd,book_age,has_rating,review_density,is_popular,price_category,price_cat_encoded,genre_encoded
1813.0,1.0,1.0000000000000002,1,1,fiction,0.7998721227621484,1.0,0.51,1.0,0.18105356352368304,0.7066666666666667,1,0.29611614979520184,1,Budget,0,12
1865.0,1.0,1.0000000000000002,1,1,fiction,0.7647727272727274,1.0,0.45,0.95703125,0.28331119964586104,0.5333333333333333,1,0.31802223522527795,1,Budget,0,12
1843.0,1.0,1.0000000000000002,1,1,fiction,0.7406542056074766,0.8294573643410853,0.526,0.9765625,0.24435590969455515,0.6066666666666667,1,0.2815974253949678,1,Budget,0,12
1890.0,1.0,0.7831325301204819,1,1,fiction,0.7947154471544715,0.9534883720930233,0.6100000000000001,0.46875,0.22089420097388227,0.45,1,0.12372001170275017,1,Budget,0,12
1846.0,1.0,1.0000000000000002,1,1,fiction,0.7789473684210526,1.0,0.44,1.0,0.1425409473218238,0.5966666666666667,1,0.33729520187244,1,Budget,0,12
1876.0,1.0,1.0000000000000002,1,1,fiction,0.7407407407407407,1.0,0.44,1.0,0.1425409473218238,0.4966666666666667,1,0.33729520187244,1,Budget,0,12
1686.0,1.0,1.0000000000000002,1,1,fiction,0.73,0.1937984496124031,0.6140000000000001,0.37109375,0.12527667109340415,1.0,1,0.09969280280866004,1,Budget,0,12
1800.0,1.0,1.0000000000000002,1,1,fiction,0.6015625,0.9922480620155039,0.536,0.98828125,0.26826029216467473,0.75,1,0.279805441778818,1,Budget,0,12
1603.0,1.0,1.0000000000000002,1,1,fiction,0.7545180722891567,1.0,0.418,1.0,0.22133687472332894,1.0,1,0.3522527794031597,1,Budget,0,12
1815.0,1.0,1.0000000000000002,1,1,fiction,0.7372881355932204,0.4573643410852713,0.516,0.84765625,0.24037184594953523,0.7000000000000001,1,0.25186512580456405,1,Budget,0,12
1822.0,1.0,1.0000000000000002,1,1,fiction,0.771604938271605,0.627906976744186,0.418,0.79296875,0.11863656485170429,0.6766666666666667,1,0.28719280280866,1,Budget,0,12
